original_file,new_location,type,joinable_guess,ocr_quality_guess,text_characters_extracted
Extraction_Aleem.pdf,./sorted_output/Selectable/Not_Joinable/Extraction_Aleem.pdf,Selectable,No,,5513
The-Survivors-Mark-William-Stein-03-28-11.pdf,./sorted_output/Selectable/Not_Joinable/The-Survivors-Mark-William-Stein-03-28-11.pdf,Selectable,No,,4145
The-Mitchells-vs.-The-Machines-Mike-Rianda-Jeff-Rowe-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Mitchells-vs.-The-Machines-Mike-Rianda-Jeff-Rowe-Film.pdf,Selectable,No,,5612
Challengers-Justin-Kuritzkes-Film.pdf,./sorted_output/Selectable/Not_Joinable/Challengers-Justin-Kuritzkes-Film.pdf,Selectable,No,,6047
Cyrano-Erica-Schmidt-Film.pdf,./sorted_output/Selectable/Not_Joinable/Cyrano-Erica-Schmidt-Film.pdf,Selectable,No,,5199
Meat-Logan-Martin-Film.pdf,./sorted_output/Selectable/Not_Joinable/Meat-Logan-Martin-Film.pdf,Selectable,No,,3767
Here-Lies-Ezra-3-16-12.pdf,./sorted_output/Selectable/Not_Joinable/Here-Lies-Ezra-3-16-12.pdf,Selectable,No,,5901
Paws-Off.pdf,./sorted_output/Selectable/Not_Joinable/Paws-Off.pdf,Selectable,No,,4333
Deprivation-6-13-13-clean.pdf,./sorted_output/Selectable/Not_Joinable/Deprivation-6-13-13-clean.pdf,Selectable,No,,4506
Arrival-Eric-Heisserer-Film-9-19-2012.pdf,./sorted_output/Selectable/Joinable/Arrival-Eric-Heisserer-Film-9-19-2012.pdf,Selectable,Yes,,4394
Breathe-Doug-Simon-Film.pdf,./sorted_output/Selectable/Not_Joinable/Breathe-Doug-Simon-Film.pdf,Selectable,No,,3890
Eden__s-Gate-Patrick-Doody-Chris-Valenziano.pdf,./sorted_output/Selectable/Not_Joinable/Eden__s-Gate-Patrick-Doody-Chris-Valenziano.pdf,Selectable,No,,4657
SummersEnd062212.pdf,./sorted_output/Selectable/Not_Joinable/SummersEnd062212.pdf,Selectable,No,,4385
Water-Tower-The-by-Bobak-Esfarjani.pdf,./sorted_output/Selectable/Not_Joinable/Water-Tower-The-by-Bobak-Esfarjani.pdf,Selectable,No,,5638
The-Red-Pill-Chris-LaMont-Joe-Russo-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Red-Pill-Chris-LaMont-Joe-Russo-Film.pdf,Selectable,No,,6021
ARMINIUS-Frank-Moll.pdf,./sorted_output/Selectable/Not_Joinable/ARMINIUS-Frank-Moll.pdf,Selectable,No,,6199
Hot-Girl-Summer-Michelle-Askew-Film.pdf,./sorted_output/Selectable/Not_Joinable/Hot-Girl-Summer-Michelle-Askew-Film.pdf,Selectable,No,,4608
THE-AWAKENING-Carly-Feingold-Brooke-Fisher-05_04_11.pdf,./sorted_output/Selectable/Not_Joinable/THE-AWAKENING-Carly-Feingold-Brooke-Fisher-05_04_11.pdf,Selectable,No,,4848
AMBER_Harlow.pdf,./sorted_output/Selectable/Not_Joinable/AMBER_Harlow.pdf,Selectable,No,,5436
Broker-Justin-PIasecki-Film.pdf,./sorted_output/Selectable/Not_Joinable/Broker-Justin-PIasecki-Film.pdf,Selectable,No,,6149
Here_Comes_The_Flood_Simon_Kinberg_05-04-201.pdf,./sorted_output/Selectable/Not_Joinable/Here_Comes_The_Flood_Simon_Kinberg_05-04-201.pdf,Selectable,No,,4185
BRIAN-STOKES-STORY.PDF,./sorted_output/Selectable/Not_Joinable/BRIAN-STOKES-STORY.PDF,Selectable,No,,7495
Red-Skies-Scott-Burn-2-1-11.pdf,./sorted_output/Selectable/Not_Joinable/Red-Skies-Scott-Burn-2-1-11.pdf,Selectable,No,,4984
The-Unbound-Sam-West-Film.pdf,./sorted_output/Selectable/Not_Joinable/The-Unbound-Sam-West-Film.pdf,Selectable,No,,5022
Mr.-Benihana-Chris-Wu-Film.pdf,./sorted_output/Selectable/Not_Joinable/Mr.-Benihana-Chris-Wu-Film.pdf,Selectable,No,,4400
BEDFORD-d-07-29-2024.pdf,./sorted_output/Selectable/Joinable/BEDFORD-d-07-29-2024.pdf,Selectable,Yes,,3867
Code-of-Silence-Michael-Butler-Dennis-Shryack-Mike-Gray-John-Mason-Film-1-1-1985.pdf,./sorted_output/Selectable/Joinable/Code-of-Silence-Michael-Butler-Dennis-Shryack-Mike-Gray-John-Mason-Film-1-1-1985.pdf,Selectable,Yes,,8339
IF-ONLY.pdf,./sorted_output/Selectable/Not_Joinable/IF-ONLY.pdf,Selectable,No,,2970
Cicada-Lillian-Yu-Film.pdf,./sorted_output/Selectable/Not_Joinable/Cicada-Lillian-Yu-Film.pdf,Selectable,No,,4986
agent-ox-03-03-11.pdf,./sorted_output/Selectable/Not_Joinable/agent-ox-03-03-11.pdf,Selectable,No,,4417
The-Haitian-Vacation-Feb-2012.pdf,./sorted_output/Selectable/Joinable/The-Haitian-Vacation-Feb-2012.pdf,Selectable,Yes,,5103
Revolutionary-Road-2008-2nd-Rev-4-19-2006.pdf,./sorted_output/OCR/Obscured_OCR/Revolutionary-Road-2008-2nd-Rev-4-19-2006.pdf,OCR,Unknown,Obscured_OCR,0
CIVILIAN-Mukunda-Michael-Dewil-01-11-11.pdf,./sorted_output/Selectable/Not_Joinable/CIVILIAN-Mukunda-Michael-Dewil-01-11-11.pdf,Selectable,No,,4144
Smoke-and-Mirrors.pdf,./sorted_output/Selectable/Not_Joinable/Smoke-and-Mirrors.pdf,Selectable,No,,5516
Courage-Under-Fire-Patrick-Sheane-Duncan-Film.pdf,./sorted_output/Selectable/Not_Joinable/Courage-Under-Fire-Patrick-Sheane-Duncan-Film.pdf,Selectable,No,,5497
Voices-Michael-R.-Perry-Film-1-28-2009.pdf,./sorted_output/OCR/Obscured_OCR/Voices-Michael-R.-Perry-Film-1-28-2009.pdf,OCR,Unknown,Obscured_OCR,0
The-Reductionist.pdf,./sorted_output/Selectable/Not_Joinable/The-Reductionist.pdf,Selectable,No,,4879
Extractors.pdf,./sorted_output/Selectable/Not_Joinable/Extractors.pdf,Selectable,No,,5549
Yasuke-Stuart-Paul-Film.PDF,./sorted_output/Selectable/Not_Joinable/Yasuke-Stuart-Paul-Film.PDF,Selectable,No,,4072
Hide-and-Seek-Final-Copy-4-17-12-Clean1-1.pdf,./sorted_output/Selectable/Not_Joinable/Hide-and-Seek-Final-Copy-4-17-12-Clean1-1.pdf,Selectable,No,,4655
corrosion4.pdf,./sorted_output/Selectable/Not_Joinable/corrosion4.pdf,Selectable,No,,8007
Belfast-Kenneth-Branagh-Film-8-1-2020.pdf,./sorted_output/Selectable/Joinable/Belfast-Kenneth-Branagh-Film-8-1-2020.pdf,Selectable,Yes,,4335
DREADNAUGHT_041512.pdf,./sorted_output/Selectable/Not_Joinable/DREADNAUGHT_041512.pdf,Selectable,No,,5770
Declaration-The-Marcos-Efron-Feb-2011.pdf,./sorted_output/Selectable/Joinable/Declaration-The-Marcos-Efron-Feb-2011.pdf,Selectable,Yes,,6461
Open-Grave-Eddie-Borey-Chris-Borey-Film.pdf,./sorted_output/Selectable/Not_Joinable/Open-Grave-Eddie-Borey-Chris-Borey-Film.pdf,Selectable,No,,5999
ANNABELLE_Goodman.pdf,./sorted_output/Selectable/Not_Joinable/ANNABELLE_Goodman.pdf,Selectable,No,,5868
HOUSE-ARREST_Justin-Adler_022713-01.pdf,./sorted_output/Selectable/Not_Joinable/HOUSE-ARREST_Justin-Adler_022713-01.pdf,Selectable,No,,5376
Catch-Me-If-You-Can-Jeff-Nathanson-Film.pdf,./sorted_output/Selectable/Not_Joinable/Catch-Me-If-You-Can-Jeff-Nathanson-Film.pdf,Selectable,No,,8282
Fiendish-Edgar-Castillo-Film.pdf,./sorted_output/Selectable/Not_Joinable/Fiendish-Edgar-Castillo-Film.pdf,Selectable,No,,4520
Crowning-Infamy-Alex-Cox-Film-12-6-1977.pdf,./sorted_output/OCR/Obscured_OCR/Crowning-Infamy-Alex-Cox-Film-12-6-1977.pdf,OCR,Unknown,Obscured_OCR,0
Miracle-Worker-The-1962-Revision-1961-05-08.pdf,./sorted_output/OCR/Obscured_OCR/Miracle-Worker-The-1962-Revision-1961-05-08.pdf,OCR,Unknown,Obscured_OCR,0
Rocket_Science.pdf,./sorted_output/Selectable/Not_Joinable/Rocket_Science.pdf,Selectable,No,,6083
Crashland_07_2013.pdf,./sorted_output/Selectable/Joinable/Crashland_07_2013.pdf,Selectable,Yes,,4404
